date,home,away,neutral,hg,ag,actual,cutoff,train_n,model,p_home,p_draw,p_away,predictable
2025-01-02,Vietnam,Thailand,False,2,1,home,2025-01-01,4243,dixon_coles,0.4176336993515425,0.2712736352498485,0.31109266539860897,True
2025-01-04,Oman,Bahrain,True,1,2,away,2025-01-01,4243,dixon_coles,0.40515270339801535,0.32428028525859476,0.27056701134339,True
2025-01-04,Burkina Faso,Kenya,True,1,1,draw,2025-01-01,4243,dixon_coles,0.5271456114763136,0.2778748675007781,0.19497952102290841,True
2025-01-05,Thailand,Vietnam,False,2,3,away,2025-01-01,4243,dixon_coles,0.4737862028777118,0.2633199969570345,0.26289380016525365,True
2025-01-07,Tanzania,Kenya,True,0,2,away,2025-01-01,4243,dixon_coles,0.34089393674230806,0.41410603575028265,0.2450000275074095,True
2025-01-09,Tanzania,Burkina Faso,True,0,2,away,2025-01-01,4243,dixon_coles,0.23647741409103082,0.35328603398002534,0.4102365519289438,True
2025-01-18,United States,Venezuela,False,3,1,home,2025-01-01,4243,dixon_coles,0.43302086510623583,0.28358195799037994,0.2833971769033842,True
2025-01-22,Uzbekistan,Jordan,True,0,0,draw,2025-01-01,4243,dixon_coles,0.4655955574431945,0.2875423739978188,0.24686206855898685,True
2025-01-22,United States,Costa Rica,False,3,0,home,2025-01-01,4243,dixon_coles,0.6400552051210806,0.22326346754922874,0.13668132732969052,True
2025-02-07,Jamaica,Trinidad and Tobago,False,1,0,home,2025-01-01,4243,dixon_coles,0.6739123461775637,0.20830347814348915,0.11778417567894726,True
2025-02-08,Chile,Panama,False,6,1,home,2025-01-01,4243,dixon_coles,0.6228322170223006,0.22840991729304583,0.14875786568465355,True
2025-02-10,Jamaica,Trinidad and Tobago,False,1,1,draw,2025-01-01,4243,dixon_coles,0.6739123461775637,0.20830347814348915,0.11778417567894726,True
2025-02-13,Oman,Sudan,False,0,0,draw,2025-01-01,4243,dixon_coles,0.5039532765135631,0.29495047304019684,0.20109625044624008,True
2025-03-09,Saint Vincent and the Grenadines,Grenada,False,1,1,draw,2025-02-15,4256,dixon_coles,0.5246543566622901,0.21638005094414095,0.258965592393569,True
2025-03-13,Oman,Sudan,False,0,0,draw,2025-02-15,4256,dixon_coles,0.4722648917744157,0.31514355234761404,0.21259155587797035,True
2025-03-14,Jordan,North Korea,False,1,1,draw,2025-02-15,4256,dixon_coles,0.4907294285908681,0.27449222204748586,0.23477834936164604,True
2025-03-16,Honduras,Guatemala,True,1,2,away,2025-02-15,4256,dixon_coles,0.3734503219528036,0.3281376532499748,0.29841202479722156,True
2025-03-19,Kazakhstan,Curaçao,True,2,0,home,2025-02-15,4256,dixon_coles,0.47638189645729745,0.29398152796772603,0.2296365755749763,True
2025-03-19,Russia,Grenada,False,5,0,home,2025-02-15,4256,dixon_coles,0.9898076353615615,0.009283946515166864,0.0009084181232717273,True
2025-03-19,Central African Republic,Madagascar,True,1,4,away,2025-02-15,4256,dixon_coles,0.3463796413977904,0.2871125396018097,0.36650781900039997,True
2025-03-19,Liberia,Tunisia,False,0,1,away,2025-02-15,4256,dixon_coles,0.10211920505466038,0.2690556334218655,0.6288251615234741,True
2025-03-19,Eswatini,Cameroon,True,0,0,draw,2025-02-15,4256,dixon_coles,0.09873378233499613,0.21480923606535496,0.6864569815996487,True
2025-03-19,Vietnam,Cambodia,False,2,1,home,2025-02-15,4256,dixon_coles,0.9294230804179502,0.05260714338789512,0.017969776194154838,True
2025-03-19,India,Maldives,False,3,0,home,2025-02-15,4256,dixon_coles,0.7205843832720689,0.19377506332027883,0.08564055340765235,True
2025-03-20,Qatar,North Korea,False,5,1,home,2025-02-15,4256,dixon_coles,0.4250386464656928,0.26967598437889606,0.30528536915541105,True
2025-03-20,South Korea,Oman,False,1,1,draw,2025-02-15,4256,dixon_coles,0.7029118670176515,0.19693290587809725,0.10015522710425141,True
2025-03-20,Iraq,Kuwait,False,2,2,draw,2025-02-15,4256,dixon_coles,0.6913407179918917,0.2101294537628643,0.09852982824524405,True
2025-03-20,Japan,Bahrain,False,2,0,home,2025-02-15,4256,dixon_coles,0.92491386251384,0.057147031801292575,0.017939105684867285,True
2025-03-20,Australia,Indonesia,False,5,1,home,2025-02-15,4256,dixon_coles,0.8921665069727411,0.08423706573738435,0.023596427289874492,True
2025-03-20,Saudi Arabia,China,False,1,0,home,2025-02-15,4256,dixon_coles,0.5741033710400367,0.2703248008593795,0.1555718281005838,True
2025-03-20,Sierra Leone,Guinea-Bissau,True,3,1,home,2025-02-15,4256,dixon_coles,0.2928255706213815,0.31072681679181446,0.39644761258680394,True
2025-03-20,Zimbabwe,Benin,True,2,2,draw,2025-02-15,4256,dixon_coles,0.2733113164080475,0.31037596380543186,0.41631271978652057,True
2025-03-20,Cape Verde,Mauritius,False,1,0,home,2025-02-15,4256,dixon_coles,0.7582780002083324,0.1867437131485906,0.054978286643077134,True
2025-03-20,Libya,Angola,False,1,1,draw,2025-02-15,4256,dixon_coles,0.27540920104640876,0.3422208374324918,0.38236996152109937,True
2025-03-20,Gambia,Kenya,True,3,3,draw,2025-02-15,4256,dixon_coles,0.3246643363856242,0.3079951512636347,0.367340512350741,True
2025-03-20,Gabon,Seychelles,False,3,0,home,2025-02-15,4256,dixon_coles,0.9695778836956119,0.024712957630970363,0.005709158673417843,True
2025-03-20,Mozambique,Uganda,True,3,1,home,2025-02-15,4256,dixon_coles,0.4153908166115915,0.3160616687604505,0.2685475146279579,True
2025-03-20,Malawi,Namibia,False,0,1,away,2025-02-15,4256,dixon_coles,0.34125626397232467,0.3453767315313805,0.3133670044962949,True
2025-03-20,Comoros,Mali,True,0,3,away,2025-02-15,4256,dixon_coles,0.11748736676279492,0.25106446678035294,0.6314481664568523,True
2025-03-20,Lebanon,Timor-Leste,True,4,0,home,2025-02-15,4256,dixon_coles,0.9090831264077464,0.07471688127224056,0.016199992320013134,True
2025-03-20,Uzbekistan,Kyrgyzstan,False,1,0,home,2025-02-15,4256,dixon_coles,0.8105938547105773,0.1372242993999255,0.05218184588949691,True
2025-03-20,Iran,United Arab Emirates,False,2,0,home,2025-02-15,4256,dixon_coles,0.6624395981988513,0.20610754594042746,0.13145285586072128,True
2025-03-20,Jordan,Palestine,False,3,1,home,2025-02-15,4256,dixon_coles,0.6399636625184473,0.21750581162438157,0.14253052585717121,True
2025-03-20,Peru,Bolivia,False,3,1,home,2025-02-15,4256,dixon_coles,0.5349324978787506,0.2816403989965716,0.18342710312467758,True
2025-03-20,Canada,Mexico,True,0,2,away,2025-02-15,4256,dixon_coles,0.3208066109902752,0.31132260067998957,0.3678707883297353,True
2025-03-20,United States,Panama,False,0,1,away,2025-02-15,4256,dixon_coles,0.7126408511681709,0.18190895767687867,0.10545019115495036,True
2025-03-20,Brazil,Colombia,False,2,1,home,2025-02-15,4256,dixon_coles,0.4463853876044954,0.2688789495615772,0.28473566283392737,True
2025-03-20,Denmark,Portugal,False,1,0,home,2025-02-15,4256,dixon_coles,0.3127214679631062,0.3067160595765855,0.38056247246030817,True
2025-03-20,Italy,Germany,False,1,2,away,2025-02-15,4256,dixon_coles,0.38723612934145357,0.25190183521771947,0.36086203544082707,True
2025-03-20,Netherlands,Spain,False,2,2,draw,2025-02-15,4256,dixon_coles,0.26700261176949036,0.24247478822828072,0.490522600002229,True
2025-03-20,Austria,Serbia,False,1,1,draw,2025-02-15,4256,dixon_coles,0.49912663786261624,0.26480146157655354,0.23607190056083033,True
2025-03-20,Greece,Scotland,False,0,1,away,2025-02-15,4256,dixon_coles,0.5740445084736773,0.2661152057504989,0.1598402857758239,True
2025-03-20,Turkey,Hungary,False,3,1,home,2025-02-15,4256,dixon_coles,0.4413995768008934,0.2676240066456939,0.2909764165534127,True
2025-03-20,Croatia,France,False,2,0,home,2025-02-15,4256,dixon_coles,0.2943668233990959,0.2852345636321553,0.4203986129687488,True
2025-03-20,Armenia,Georgia,False,0,3,away,2025-02-15,4256,dixon_coles,0.14759151775802898,0.19820767661565064,0.6542008056263204,True
2025-03-20,Bulgaria,Republic of Ireland,False,1,2,away,2025-02-15,4256,dixon_coles,0.2586886812368506,0.3346501204967756,0.40666119826637376,True
2025-03-20,Kosovo,Iceland,False,2,1,home,2025-02-15,4256,dixon_coles,0.4816784054486457,0.2664167872434073,0.25190480730794695,True
2025-03-20,Slovakia,Slovenia,False,0,0,draw,2025-02-15,4256,dixon_coles,0.4042838677037772,0.31765477689582056,0.2780613554004022,True
2025-03-20,Laos,Sri Lanka,False,1,2,away,2025-02-15,4256,dixon_coles,0.513719369905278,0.30161560850291325,0.18466502159180853,True
2025-03-20,Tajikistan,Belarus,False,0,5,away,2025-02-15,4256,dixon_coles,0.36828201652467907,0.3477833608590398,0.283934622616281,True
2025-03-20,Paraguay,Chile,False,1,0,home,2025-02-15,4256,dixon_coles,0.3687026593890398,0.32036518570374173,0.31093215490721865,True
2025-03-20,Ukraine,Belgium,True,3,1,home,2025-02-15,4256,dixon_coles,0.24107524542532677,0.3007460001160611,0.4581787544586121,True
2025-03-21,South Africa,Lesotho,False,0,3,away,2025-02-15,4256,dixon_coles,0.758480225247752,0.17882107663771282,0.06269869811453513,True
2025-03-21,Morocco,Niger,False,2,1,home,2025-02-15,4256,dixon_coles,0.9138742765621942,0.06749345966168034,0.018632263776125486,True
2025-03-21,Burundi,Ivory Coast,True,0,1,away,2025-02-15,4256,dixon_coles,0.07962260279174213,0.16220116240659985,0.7581762348016579,True
2025-03-21,Botswana,Algeria,False,1,3,away,2025-02-15,4256,dixon_coles,0.12548094789348274,0.21927385964461743,0.6552451924618998,True
2025-03-21,Guinea,Somalia,True,0,0,draw,2025-02-15,4256,dixon_coles,0.8465581794206098,0.11360867377439365,0.03983314680499666,True
2025-03-21,Equatorial Guinea,São Tomé and Príncipe,False,2,0,home,2025-02-15,4256,dixon_coles,0.9156998673076452,0.06728535203011754,0.01701478066223738,True
2025-03-21,Cyprus,San Marino,False,2,0,home,2025-02-15,4256,dixon_coles,0.8491126856617206,0.11593301542744174,0.03495429891083788,True
2025-03-21,Malta,Finland,False,0,1,away,2025-02-15,4256,dixon_coles,0.17549170467814001,0.26083471971422506,0.5636735756076351,True
2025-03-21,Poland,Lithuania,False,1,0,home,2025-02-15,4256,dixon_coles,0.8758889246042085,0.09255361014604944,0.031557465249742,True
2025-03-21,Romania,Bosnia and Herzegovina,False,0,1,away,2025-02-15,4256,dixon_coles,0.687129562084888,0.2178702462933651,0.09500019162174685,True
2025-03-21,England,Albania,False,2,0,home,2025-02-15,4256,dixon_coles,0.7487082595526069,0.18622914143938055,0.06506259900801253,True
2025-03-21,Andorra,Latvia,False,0,1,away,2025-02-15,4256,dixon_coles,0.2006136083767623,0.3720577180495029,0.42732867357373494,True
2025-03-21,Rwanda,Nigeria,False,0,2,away,2025-02-15,4256,dixon_coles,0.25563554115816417,0.3474140189094721,0.39695043993236373,True
2025-03-21,Ghana,Chad,False,5,0,home,2025-02-15,4256,dixon_coles,0.7229718981214799,0.2156009844858275,0.06142711739269253,True
2025-03-21,DR Congo,South Sudan,False,1,0,home,2025-02-15,4256,dixon_coles,0.8259127862519808,0.13938022768778496,0.034706986060234236,True
2025-03-21,Saint Vincent and the Grenadines,Jamaica,False,1,1,draw,2025-02-15,4256,dixon_coles,0.03365990186661606,0.07286660130761205,0.893473496825772,True
2025-03-21,Burkina Faso,Djibouti,True,4,1,home,2025-02-15,4256,dixon_coles,0.8805254477628861,0.08677322414750138,0.03270132808961246,True
2025-03-21,Ethiopia,Egypt,True,0,2,away,2025-02-15,4256,dixon_coles,0.056494886543808416,0.15439030692821473,0.7891148065279767,True
2025-03-21,Belize,Costa Rica,False,0,7,away,2025-02-15,4256,dixon_coles,0.025208242061151326,0.10430174148164802,0.8704900164572007,True
2025-03-21,Guyana,Guatemala,True,3,2,home,2025-02-15,4256,dixon_coles,0.0888852670775868,0.17295860731552531,0.7381561256068879,True
2025-03-21,Bermuda,Honduras,False,3,5,away,2025-02-15,4256,dixon_coles,0.02629320659933733,0.06059723770741027,0.9131095556932523,True
2025-03-21,Suriname,Martinique,False,1,0,home,2025-02-15,4256,dixon_coles,0.5052473849177337,0.2747925081841822,0.21996010689808426,True
2025-03-21,Cuba,Trinidad and Tobago,False,1,2,away,2025-02-15,4256,dixon_coles,0.3436149724084411,0.2932254759895987,0.36315955160196023,True
2025-03-21,Guadeloupe,Nicaragua,False,1,0,home,2025-02-15,4256,dixon_coles,0.3205216836765544,0.33511171373212695,0.3443666025913187,True
2025-03-21,Puerto Rico,Dominican Republic,False,2,2,draw,2025-02-15,4256,dixon_coles,0.24681931748189484,0.21390033338199607,0.5392803491361091,True
2025-03-21,Singapore,Nepal,False,0,1,away,2025-02-15,4256,dixon_coles,0.6227966899104849,0.22162367787878598,0.15557963221072924,True
2025-03-21,Thailand,Afghanistan,False,2,0,home,2025-02-15,4256,dixon_coles,0.8549229377244756,0.10462748657857318,0.04044957569695112,True
2025-03-21,Ecuador,Venezuela,False,2,1,home,2025-02-15,4256,dixon_coles,0.576017480465159,0.2776915217526425,0.1462909977821983,True
2025-03-21,Uruguay,Argentina,False,0,1,away,2025-02-15,4256,dixon_coles,0.2388208638102218,0.33553873043392246,0.4256404057558557,True
2025-03-21,New Zealand,Fiji,False,7,0,home,2025-02-15,4256,dixon_coles,0.9649576046445996,0.02975468752864564,0.005287707826754742,True
2025-03-21,Northern Ireland,Switzerland,False,1,1,draw,2025-02-15,4256,dixon_coles,0.21564659791286975,0.25043211380443886,0.5339212882826914,True
2025-03-22,Liechtenstein,North Macedonia,False,0,3,away,2025-02-15,4256,dixon_coles,0.019720396468611692,0.10799030996143254,0.8722892935699558,True
